"player","team","date","pass_yds_line","pass_yds_over_price","pass_yds_under_price","rush_yds_line","rush_yds_over_price","rush_yds_under_price","rec_yds_line","rec_yds_over_price","rec_yds_under_price","pass_tds_line","pass_tds_over_price","pass_tds_under_price","rush_tds_line","rush_tds_over_price","rush_tds_under_price","rec_tds_line","rec_tds_over_price","rec_tds_under_price"
"Ashton Jeanty","LV",2026-09-04,NA,NA,NA,999.5,100,NA,NA,NA,NA,NA,NA,NA,7.5,-110,NA,NA,NA,NA
"Breece Hall","NYJ",2026-09-04,NA,NA,NA,900.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,116,-154,NA,NA,NA
"TreVeyon Henderson","NE",2026-09-04,NA,NA,NA,675.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-114,-114,NA,NA,NA
"Chuba Hubbard","CAR",2026-09-04,NA,NA,NA,999.5,300,NA,NA,NA,NA,NA,NA,NA,7.5,300,NA,NA,NA,NA
"Jonathon Brooks","CAR",2026-09-04,NA,NA,NA,999.5,350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Monangai","CHI",2026-09-04,NA,NA,NA,999.5,400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenneth Walker","KC",2026-09-04,NA,NA,NA,950.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-130,-102,NA,NA,NA
"De'Von Achane","MIA",2026-09-04,NA,NA,NA,975.5,-114,-114,375.5,-115,-115,NA,NA,NA,5.5,120,-150,NA,NA,NA
"Omarion Hampton","LAC",2026-09-04,NA,NA,NA,950.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-148,112,NA,NA,NA
"Christian McCaffrey","SF",2026-09-04,NA,NA,NA,900.5,-114,-114,550.5,-114,-114,NA,NA,NA,8.5,106,-140,4.5,115,-145
"Kyren Williams","LAR",2026-09-04,NA,NA,NA,925.5,-114,-114,NA,NA,NA,NA,NA,NA,10.5,140,-170,NA,NA,NA
"Javonte Williams","DAL",2026-09-04,NA,NA,NA,950.5,-114,-114,NA,NA,NA,NA,NA,NA,9.5,-128,-104,NA,NA,NA
"Josh Williams","",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chase Brown","CIN",2026-09-04,NA,NA,NA,850.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,106,-140,NA,NA,NA
"Quinshon Judkins","CLE",2026-09-04,NA,NA,NA,850.5,-114,-114,NA,NA,NA,NA,NA,NA,6.5,105,-135,NA,NA,NA
"D.J. Montgomery","IND",2026-09-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Etienne","NO",2026-09-04,NA,NA,NA,875.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,124,-166,NA,NA,NA
"David Montgomery","HOU",2026-09-04,NA,NA,NA,800.5,-114,-114,NA,NA,NA,NA,NA,NA,7.5,-102,-130,NA,NA,NA
"D'Andre Swift","CHI",2026-09-04,NA,NA,NA,800.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-158,118,NA,NA,NA
"Bucky Irving","TB",2026-09-04,NA,NA,NA,800.5,100,-130,NA,NA,NA,NA,NA,NA,5.5,135,-170,NA,NA,NA
"Tony Pollard","TEN",2026-09-04,NA,NA,NA,775.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,112,-148,NA,NA,NA
"Jeremiyah Love","ARI",2026-09-04,NA,NA,NA,775.5,-114,-114,NA,NA,NA,NA,NA,NA,5.5,-122,-108,NA,NA,NA
"Cam Skattebo","NYG",2026-09-04,NA,NA,NA,750.5,-115,-115,250.5,-115,-115,NA,NA,NA,6.5,115,-145,NA,NA,NA
"Jacory Croskey-Merritt","WAS",2026-09-04,NA,NA,NA,600.5,-115,-115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
